img,img_path,label,pred,conf,correct
img_000002.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000002.jpg,ppc5431,ppc5431,0.999956,1
img_000004.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000004.jpg,ovk7900,ovk7900,0.999929,1
img_000010.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000010.jpg,oye3384,oye3384,0.999952,1
img_000020.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000020.jpg,lse1695,lse1695,0.999909,1
img_000044.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000044.jpg,jsv4493,jsv4493,0.999879,1
img_000050.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000050.jpg,ppk6012,ppk6012,0.999887,1
img_000051.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000051.jpg,ppn1470,ppn1470,0.999868,1
img_000071.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000071.jpg,ppz3525,ppz3525,0.999967,1
img_000073.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000073.jpg,qrd8410,qrd8410,0.999248,1
img_000076.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000076.jpg,mrz7550,mrz7550,0.999860,1
img_000078.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000078.jpg,eyo3502,eyo3502,0.997081,1
img_000084.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000084.jpg,msf1046,msf1046,0.999494,1
img_000085.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000085.jpg,oyh9528,oyh9528,0.999276,1
img_000092.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000092.jpg,ppu0879,ppu2879,0.446357,0
img_000095.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000095.jpg,mrp2989,mrp2989,0.999888,1
img_000105.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000105.jpg,ovf4168,oyf4168,0.900563,0
img_000107.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000107.jpg,mtp5026,mtp5026,0.999962,1
img_000111.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000111.jpg,mtj5833,mtj5833,0.999886,1
img_000112.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000112.jpg,ppw4661,ppw4661,0.999924,1
img_000113.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000113.jpg,gmf8421,gmf8421,0.998846,1
img_000114.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000114.jpg,ppw1889,ppw1889,0.999940,1
img_000116.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000116.jpg,ppp4907,ppp4907,0.999947,1
img_000117.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000117.jpg,ods3662,ods3662,0.999896,1
img_000121.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000121.jpg,odt9984,odt9984,0.999954,1
img_000122.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000122.jpg,msa3310,msa3310,0.999906,1
img_000128.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000128.jpg,odo9891,odo9891,0.999970,1
img_000130.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000130.jpg,msr1353,msr1353,0.999845,1
img_000131.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000131.jpg,odg5904,odg5904,0.999980,1
