img,img_path,label,pred,conf,correct
img_000002.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000002.jpg,ppc5431,ppc5431,0.999866,1
img_000004.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000004.jpg,ovk7900,ovk7900,0.999940,1
img_000010.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000010.jpg,oye3384,oye3384,0.999937,1
img_000020.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000020.jpg,lse1695,lse1695,0.999840,1
img_000044.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000044.jpg,jsv4493,jsv4493,0.999897,1
img_000050.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000050.jpg,ppk6012,ppk6012,0.999959,1
img_000051.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000051.jpg,ppn1470,ppn1470,0.999871,1
img_000071.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000071.jpg,ppz3525,ppz3525,0.999963,1
img_000073.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000073.jpg,qrd8410,qrd8410,0.999839,1
img_000076.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000076.jpg,mrz7550,mrz7550,0.999831,1
img_000078.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000078.jpg,eyo3502,eyo3502,0.954410,1
img_000084.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000084.jpg,msf1046,msf1046,0.745382,1
img_000085.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000085.jpg,oyh9528,oyh9528,0.999802,1
img_000092.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000092.jpg,ppu0879,ppu0879,0.992662,1
img_000095.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000095.jpg,mrp2989,mrp2989,0.999687,1
img_000105.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000105.jpg,ovf4168,oyf4168,0.446338,0
img_000107.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000107.jpg,mtp5026,mtp5026,0.999938,1
img_000111.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000111.jpg,mtj5833,mtj5833,0.999954,1
img_000112.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000112.jpg,ppw4661,ppw4661,0.999940,1
img_000113.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000113.jpg,gmf8421,gmf8421,0.999867,1
img_000114.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000114.jpg,ppw1889,ppw1889,0.999959,1
img_000116.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000116.jpg,ppp4907,ppp4907,0.999904,1
img_000117.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000117.jpg,ods3662,ods3662,0.999944,1
img_000121.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000121.jpg,odt9984,odt9984,0.999957,1
img_000122.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000122.jpg,msa3310,msa3310,0.999929,1
img_000128.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000128.jpg,odo9891,odo9891,0.999868,1
img_000130.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000130.jpg,msr1353,msr1353,0.999884,1
img_000131.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000131.jpg,odg5904,odg5904,0.999951,1
img_000133.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000133.jpg,mtz3256,mtz3256,0.999697,1
img_000134.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000134.jpg,mst8531,mst8531,0.999860,1
img_000137.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000137.jpg,ppw4661,ppw4661,0.999913,1
img_000141.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000141.jpg,ppx4854,ppx4854,0.999950,1
img_000145.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000145.jpg,ovf6363,ovf6363,0.999931,1
img_000146.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000146.jpg,odr3127,odr3127,0.999854,1
img_000149.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000149.jpg,kzg4329,kzg4329,0.564777,1
img_000153.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000153.jpg,ppw4661,ppw4661,0.999944,1
img_000156.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000156.jpg,odf5623,odf5623,0.999670,1
img_000157.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000157.jpg,odt6208,odt6208,0.999947,1
img_000158.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000158.jpg,ods2590,ods2590,0.999946,1
img_000159.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000159.jpg,ods3662,ods3662,0.999951,1
img_000161.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000161.jpg,odg3176,odg3176,0.999958,1
img_000164.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000164.jpg,msb4766,msb4766,0.999637,1
img_000167.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000167.jpg,odt6181,odt6181,0.999953,1
img_000168.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000168.jpg,mry7465,mrv7465,0.705818,0
img_000169.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000169.jpg,odr3127,odr3127,0.999937,1
img_000170.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000170.jpg,ode6371,ode6371,0.999828,1
img_000171.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000171.jpg,ppp7674,ppp7674,0.999936,1
img_000173.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000173.jpg,mtc0626,mtc0626,0.999847,1
img_000176.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000176.jpg,ppx0155,ppx0155,0.999957,1
img_000178.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000178.jpg,qrd3012,qrd3012,0.999930,1
img_000179.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000179.jpg,ppv2861,ppv2861,0.999947,1
img_000182.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000182.jpg,mts7362,mts7362,0.999859,1
img_000184.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000184.jpg,ppw4661,ppw4661,0.999940,1
img_000185.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000185.jpg,ods2590,ods2590,0.999946,1
img_000186.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000186.jpg,mtj5833,mtj5833,0.999940,1
img_000187.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000187.jpg,ppw0076,ppw0076,0.999952,1
img_000188.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000188.jpg,odg4873,odg4873,0.999967,1
img_000189.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000189.jpg,odg3176,odg3176,0.999924,1
img_000190.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000190.jpg,fda4010,fda4010,0.999930,1
img_000191.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000191.jpg,msb4766,msb4766,0.999622,1
img_000192.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000192.jpg,odt6092,odt6092,0.999946,1
img_000193.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000193.jpg,odr3127,odr3127,0.999914,1
img_000195.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000195.jpg,mtx0171,mtx0171,0.999912,1
img_000198.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000198.jpg,mtz3256,mtz3256,0.999475,1
img_000199.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000199.jpg,qrc6770,qrc6770,0.999429,1
img_000201.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000201.jpg,odr3984,odr3984,0.999930,1
img_000202.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000202.jpg,odt6140,odt6140,0.999955,1
img_000210.jpg,/home/andre/dev/research/constrastive-deep-text-recognition-benchmark/dataset/test/cars_motors/img_000210.jpg,ppw0076,ppw0076,0.999955,1
